state,county,fips,lat,longitude
ME,Washington County,23029,45.04600143,67.54599762
ME,York County,23031,43.43600082,70.65699768
MD,Allegany County,24001,39.60300064,78.70200348
MD,Anne Arundel County,24003,38.97299957,76.68499756
MD,Baltimore County,24005,39.46500015,76.61599731
MD,Calvert County,24009,38.67499924,76.61000061
MD,Caroline County,24011,38.88700104,75.84200287
MD,Carroll County,24013,39.5340004,77.03399658
MD,Cecil County,24015,39.54600143,75.99700165
MD,Charles County,24017,38.47999954,76.87999725
MD,Dorchester County,24019,38.40000153,76.01999664
MD,Frederick County,24021,39.47100067,77.41200256
MD,Garrett County,24023,39.46500015,79.19999695
MD,Harford County,24025,39.5,76.32900238
MD,Howard County,24027,39.22999954,76.93099976
MD,Kent County,24029,39.27099991,75.90000153
MD,Montgomery County,24031,39.14500046,77.17199707
MD,Prince George's County,24033,38.8409996,76.87400055
MD,Queen Anne's County,24035,39.05899811,75.99099731
MD,St. Mary's County,24037,38.31399918,76.68499756
MD,Somerset County,24039,38.09600067,75.83100128
MD,Talbot County,24041,38.79499817,76.16300201
MD,Washington County,24043,39.52299881,77.90499878
MD,Wicomico County,24045,38.40499878,75.58999634
MD,Worcester County,24047,38.22200012,75.33799744
MD,Baltimore city,24510,39.22499847,76.5759964
MA,Barnstable County,25001,41.70600128,70.29599762
MA,Berkshire County,25003,42.39300156,73.22399902
MA,Bristol County,25005,41.79700089,71.10399628
MA,Dukes County,25007,41.38499832,70.6969986
MA,Essex County,25009,42.6570015,70.91500092
MA,Franklin County,25011,42.54199982,72.65100098
MA,Hampden County,25013,42.16999817,72.59400177
MA,Hampshire County,25015,42.39899826,72.61100006
MA,Middlesex County,25017,42.44499969,71.46499634
MA,Nantucket County,25019,41.2820015,70.15899658
MA,Norfolk County,25021,42.16400146,71.13800049
MA,Plymouth County,25023,41.96300125,70.81199646
MA,Suffolk County,25025,42.36500168,71.07499695
MA,Worcester County,25027,42.36500168,71.89499664
MI,Alcona County,26001,44.68500137,83.60600281
MI,Alger County,26003,46.42699814,86.48799896
MI,Allegan County,26005,42.59400177,85.90899658
MI,Alpena County,26007,45.02899933,83.60600281
MI,Antrim County,26009,45.01200104,85.14700317
MI,Arenac County,26011,44.0379982,83.8010025
MI,Baraga County,26013,46.67900085,88.36199951
MI,Barry County,26015,42.59400177,85.30799866
MI,Bay County,26017,43.74000168,83.93299866
MI,Benzie County,26019,44.64500046,86.02400208
MI,Berrien County,26021,42.00400162,86.52200317
MI,Branch County,26023,41.91799927,85.06099701
MI,Calhoun County,26025,42.24399948,85.0039978
MI,Cass County,26027,41.91799927,85.98999786
MI,Charlevoix County,26029,45.4129982,85.11299896
MI,Cheboygan County,26031,45.49300003,84.47100067
MI,Chippewa County,26033,46.3409996,84.41999817
MI,Clare County,26035,43.98600006,84.84899902
MI,Clinton County,26037,42.94300079,84.60299683
MI,Crawford County,26039,44.68500137,84.60900116
MI,Delta County,26041,45.83100128,86.91200256
MI,Dickinson County,26043,45.98600006,87.8690033
MI,Eaton County,26045,42.59400177,84.83799744
MI,Emmet County,26047,45.53300095,84.91200256
MI,Genesee County,26049,43.00099945,83.69200134
MI,Gladwin County,26051,43.98600006,84.38500214
MI,Gogebic County,26053,46.43299866,89.70200348
MI,Grand Traverse County,26055,44.68500137,85.57700348
MI,Gratiot County,26057,43.29299927,84.60900116
MI,Hillsdale County,26059,41.88299942,84.59200287
MI,Houghton County,26061,46.85100174,88.60800171
MI,Huron County,26063,43.77999878,83.03900146
MI,Ingham County,26065,42.59899902,84.37400055
